Pos      Prof       R (d)    R (i)    Rstima
26.      23.      -0.48734      nan -0.48734
34.      23.      -0.62561      nan -0.62561
42.      23.      -0.04386      nan -0.04386
50.      23.      -0.00891      nan -0.00891
58.      23.      -0.01937      nan -0.01937
28.      24.           nan -0.00907 -0.00907
26.      25.      -2.34776      nan -2.34776
30.      25.      -0.40684      nan -0.40684
30.      25.           nan -0.02465 -0.02465
34.      25.      -0.18764      nan -0.18764
38.      25.      -0.03809      nan -0.03809
42.      25.      -0.02425      nan -0.02425
46.      25.      -0.01003      nan -0.01003
50.      25.           nan -0.00105 -0.00105
58.      25.      -0.02883      nan -0.02883
62.      25.      -0.03336      nan -0.03336
32.      30.      -0.11669      nan -0.11669
40.      30.      -0.03165      nan -0.03165
48.      30.      -0.01656      nan -0.01656
40.      38.      -0.03051      nan -0.03051
